29.866497,-93.96515,natural gas,1032122
29.7731,-94.9019,natural gas,2106540
29.378097,-94.932773,natural gas,3786786
29.811956,-90.00843,natural gas,97481
29.751645,-94.92312,natural gas,2453095
29.838138,-94.900661,natural gas,102110.12
29.691111,-91.192778,natural gas,313748
29.49233,-94.98483,natural gas,147847
29.68455,-91.470619,other,240761
29.426389,-94.976667,natural gas,663891
27.5667,-99.5089,natural gas,36093
27.819412,-97.419203,natural gas,1472089
28.7883,-97.01,natural gas,974797
29.822201,-95.219429,natural gas,211854
29.9417,-95.5306,natural gas,1525356
29.4828,-95.6311,coal,13122023
25.9131,-97.5214,natural gas,63075
29.3525,-98.5761,natural gas,145345
29.308056,-98.3242,natural gas,1401272
29.2567,-98.3825,natural gas,1663138
28.9275,-99.0919,natural gas,497648
28.8947,-97.135,natural gas,384035
27.6064,-97.3117,natural gas,1284352
28.7128,-97.214167,coal,2603498
29.9172,-96.7506,coal,9758501
28.7044,-98.4775,coal,2099389
28.795,-96.0481,nuclear,21919885
26.5575,-99.1642,hydroelectric,20459
29.309722,-98.3203,coal,6784911
29.694838,-95.040622,natural gas,710450
29.257046,-98.384045,natural gas,2659025
29.2293,-95.1952,natural gas,781752
28.513929,-96.794154,petroleum,45243
27.5697,-97.8228,natural gas,258837
29.6225,-95.0458,natural gas,2312642
29.2558,-95.2103,natural gas,115555.13
28.6917,-96.5417,natural gas,3260765.58
29.759124,-95.009648,natural gas,2437368
28.675088,-96.956014,natural gas,566189
27.8322,-97.5281,natural gas,251461
29.7314,-95.0839,natural gas,1936131
29.721048,-95.39536,natural gas,20398.7
27.8175,-97.4814,petroleum,151254.97
28.5105,-96.7706,natural gas,723745.28
29.6981,-95.2547,natural gas,231636
29.723185,-95.128856,natural gas,1501517
27.811083,-97.595813,natural gas,68766
29.8161,-95.10773,natural gas,3190253
29.71977,-95.270562,other,60992
28.991289,-95.407481,natural gas,2321229.6
29.726017,-95.638249,natural gas,20282.08
28.9802,-95.342,natural gas,2713111.27
29.0728,-95.745,natural gas,2919482
29.72475,-95.176479,natural gas,3801823
27.88929,-97.258417,natural gas,699287
26.3403,-98.19,natural gas,2422818
29.593056,-97.973215,natural gas,4529681
29.7806,-97.9894,natural gas,3478985
29.6244,-98.1419,natural gas,6315390
29.836952,-95.121744,natural gas,5584156
27.8139,-97.4283,natural gas,2095278
29.7189,-95.2319,natural gas,4295910
29.002,-95.394,natural gas,553319
27.882778,-97.242778,natural gas,2856321
29.4731,-95.6244,natural gas,3392955
29.7028,-95.0718,natural gas,187580
29.713414,-95.134508,natural gas,6949621
26.34172,-98.175759,natural gas,2535271
28.988761,-95.395417,natural gas,1162189.98
29.2878,-96.0683,natural gas,1674033
27.0011,-97.5994,wind,757314
28.650278,-96.539722,natural gas,809548
27.022112,-97.498478,wind,353128
29.3467,-98.6536,biomass,35431
27.9386,-97.4586,wind,501839
27.122529,-97.557372,wind,279038
29.304177,-98.400339,solar,21319
27.9958,-97.2967,wind,549874
27.576111,-98.905278,wind,476358
29.703454,-95.398317,natural gas,142773.26
26.465556,-98.411111,wind,710994
26.33072,-97.5857,wind,392529
26.34892,-97.6668,wind,464016
26.475278,-97.691111,wind,541430
27.184652,-97.59818,wind,422388
27.488056,-99.005278,wind,223746
29.271667,-98.444722,solar,90997
27.580489,-97.640077,wind,693624
29.47982,-98.29926,solar,74777
29.739444,-95.194722,other,66617
26.941667,-97.6425,wind,633196
26.522222,-97.691111,wind,587469
26.195278,-97.466111,wind,374399
28.979167,-95.306944,natural gas,355779.2
27.5925,-97.500833,wind,658225
29.216667,-99.716111,solar,206230
26.388611,-98.806111,wind,697271
26.380556,-98.818333,wind,702490
26.451111,-98.1775,natural gas,406924
27.18,-98.916667,wind,262383
26.125979,-97.377599,wind,168356
29.550278,-96.537778,natural gas,100550.94
26.411689,-98.571554,wind,339960
27.32,-99,wind,906789
29.289415,-96.065399,natural gas,6437284
28.64807,-96.54621,natural gas,85365
29.883214,-95.111345,natural gas,138923
