38.837573,-104.824907,hydroelectric
35.972874,-77.84687,solar
38.069801,-117.232243,solar
28.766853,-96.978988,natural gas
30.266552,-89.760156,solar
36.945795,-81.054406,hydroelectric
38.211846,-85.673087,hydroelectric
35.069252,-80.842291,hydroelectric
32.274159,-90.151048,natural gas
33.52421,-117.152568,solar
38.533939,-118.62308,geothermal
44.632745,-112.591203,natural gas
32.450591,-100.392455,wind
32.374263,-99.007197,wind
37.940064,-91.801658,biomass
37.796979,-79.419007,biomass
40.146209,-88.259884,natural gas
40.163072,-122.228937,biomass
40.561525,-111.930221,biomass
40.859402,-82.268121,coal
39.849302,-75.437827,natural gas
41.348503,-89.126115,wind
39.393663,-74.562619,wind
44.03563,-121.308473,solar
44.656089,-111.099022,hydroelectric
32.470885,-95.450473,solar
39.489732,-119.794179,geothermal
42.899615,-112.435248,other
43.485152,-112.05205,hydroelectric
40.622823,-111.868732,natural gas
40.891909,-72.426995,petroleum
32.35778,-88.671246,solar
44.704537,-73.491829,natural gas
39.443345,-87.331737,natural gas
37.251836,-93.265534,natural gas
36.893583,-89.533986,coal
44.96499,-92.96129,biomass
32.478594,-93.75437,natural gas
41.599019,-93.806336,coal
34.440227,-119.753359,solar
36.167631,-95.766044,natural gas
36.955196,-86.438854,natural gas
44.957751,-124.010966,biomass
31.312424,-92.446436,natural gas
46.066137,-93.663538,natural gas
38.647199,-121.118344,hydroelectric
30.070698,-95.930431,natural gas
35.097801,-89.858957,natural gas
34.428885,-119.87338,solar
39.498017,-76.231196,natural gas
42.998817,-82.428935,biomass
32.496554,-92.055091,biomass
28.521614,-98.185829,wind
41.575888,-90.513526,nuclear
39.974472,-83.00092,natural gas
38.785335,-77.014771,biomass
42.29571,-73.239245,natural gas
36.924902,-111.468041,hydroelectric
40.860817,-96.679723,coal
27.493808,-97.844399,natural gas
44.775909,-68.73432,natural gas
41.016143,-76.492616,coal
44.212532,-72.576462,biomass
43.979585,-75.954114,hydroelectric
43.328388,-73.679992,hydroelectric
33.980394,-118.445237,natural gas
37.377287,-118.4226,geothermal
37.109305,-121.017565,solar
35.354643,-119.331607,natural gas
30.706696,-101.195962,wind
40.44146,-104.991205,natural gas
41.116493,-101.709415,hydroelectric
40.917317,-100.169913,hydroelectric
29.784665,-95.110612,natural gas
33.525917,-86.806875,coal
41.802949,-88.370249,natural gas
34.432426,-100.218676,solar
34.12046,-116.050953,solar
40.270895,-103.62223,natural gas
41.699456,-88.3123,natural gas
43.463995,-110.794875,hydroelectric
41.061499,-73.836411,natural gas
35.660349,-88.855771,natural gas
39.677755,-111.841252,natural gas
30.905492,-102.88453,solar
35.901319,-84.149634,coal
37.838679,-120.23199,hydroelectric
31.947361,-102.141289,natural gas
30.509233,-99.77456,wind
37.473828,-119.635893,hydroelectric
40.829973,-98.379822,coal
45.411899,-94.054852,coal
33.459926,-94.077179,biomass
40.494024,-82.712896,natural gas
41.238923,-75.845562,wind
